,Step,Month,USI,Gini,Average_Trust,S_R,S_I,S_O,Water_Supply,Food_Supply,Elec_Supply,Total_Demand,Total_Supply,Active_Shocks,Cooperating_Pct
0,0,1,0.8856395965119138,0.20542102097693915,0.7479794070245943,1.0,0.7945789790230608,1.0,663.5444399999999,99.71,550.3,142791.08,663.5444399999999,[],1.0
1,1,2,0.8972077672651306,0.20542102097693915,0.7942520900374619,1.0,0.7945789790230608,1.0,663.5444399999999,97.82,519.5,142791.08,663.5444399999999,[],1.0
2,2,3,0.878777264819135,0.20542102097693915,0.7205635347778804,1.0,0.7945789790230608,0.9999665454755988,291.05437184999994,90.5814,555.190675,142791.08,291.05437184999994,['drought'],1.0
3,3,4,0.8653571178205504,0.20542102097693915,0.6669073330901909,1.0,0.7945789790230608,0.9999421591689497,299.26593719999994,78.3012,538.4632,142791.08,299.26593719999994,"['drought', 'economic_crisis']",1.0
4,4,5,0.8769310606396826,0.20542102097693915,0.7132781546700574,1.0,0.7945789790230608,0.999867108865612,315.68906789999994,83.0208,631.1591,142791.08,315.68906789999994,"['drought', 'economic_crisis']",1.0
5,5,6,0.8885351338298549,0.20542102097693915,0.7596715797418477,1.0,0.7945789790230608,0.9998899765545112,804.4322030999999,79.08409999999999,603.036125,142791.08,804.4322030999999,"['drought', 'economic_crisis']",1.0
6,6,7,0.8751364845277522,0.20542102097693915,0.7060839479043155,1.0,0.7945789790230608,0.9998830111836323,809.521908192,81.506304,608.5233531,142791.08,809.521908192,"['drought', 'flood']",1.0
7,7,8,0.8867590402872898,0.20542102097693915,0.7525122267566983,1.0,0.7945789790230608,0.9999449553694004,845.4086423999998,78.6646,624.8284,142791.08,845.4086423999998,['flood'],1.0
8,8,9,0.8983198718901354,0.20542102097693915,0.7987715867327209,1.0,0.7945789790230608,0.9999289218047599,854.0352611999999,83.13029999999999,590.3237,142791.08,854.0352611999999,['flood'],1.0
9,9,10,0.9091685467932549,0.20542102097693915,0.8421662659379235,1.0,0.7945789790230608,0.9999289422120354,583.9155,91.81,515.4,142791.08,583.9155,[],1.0
10,10,11,0.9183177960441369,0.20542102097693915,0.8788237248222354,1.0,0.7945789790230608,0.9998684803312512,583.9155,104.92,491.0,142791.08,583.9155,[],1.0
11,11,12,0.9257199024459963,0.20542102097693915,0.9085377134806547,1.0,0.7945789790230608,0.9997629172802698,583.9155,97.4,489.6,142791.08,583.9155,[],1.0
