,Step,Month,USI,Gini,Average_Trust,S_R,S_I,S_O,Water_Supply,Food_Supply,Elec_Supply,Total_Demand,Total_Supply,Active_Shocks,Cooperating_Pct
0,0,1,0.7383278123605088,0.20542495227655944,0.6926731640381374,0.46606303768045726,0.7945750477234406,1.0,428.65033999999997,30.24,564.2,459863.05,428.65033999999997,[],1.0
1,1,2,0.7364797361879699,0.20542495227655944,0.6852808593479818,0.46606303768045726,0.7945750477234406,1.0,428.65033999999997,33.13,544.9,459863.05,428.65033999999997,[],1.0
2,2,3,0.6514605412375439,0.20542495227655722,0.5120543843589098,0.29921358671347914,0.7945750477234428,0.9999991461543442,239.29960449999996,30.90305,635.3087,459863.05,239.29960449999996,['drought'],1.0
3,3,4,0.5806511100027949,0.20542495227655655,0.22201330708363298,0.3076553493480287,0.7945750477234435,0.9983607358560747,246.05100399999995,28.3222,622.2787999999999,459863.05,246.05100399999995,"['drought', 'economic_crisis']",0.0
4,4,5,0.5733317199925514,0.20542495227655033,0.17850297907845045,0.32453887461712777,0.7945750477234497,0.9957099785511778,259.55380299999996,27.991049999999998,564.28195,459863.05,259.55380299999996,"['drought', 'economic_crisis']",0.0
5,5,6,0.6241681731530841,0.20542495227655566,0.14637692749582704,0.560851645288744,0.7945750477234443,0.9948690721043214,448.54773599999993,26.3549,643.153,459863.05,448.54773599999993,"['drought', 'economic_crisis']",0.0
6,6,7,0.5863890819230221,0.205424952276555,0.0026551996619698652,0.5517994381017348,0.794575047723445,0.9965266422049386,441.30812625,26.6408025,615.9403884374999,459863.05,441.30812625,"['drought', 'flood', 'economic_crisis']",0.0
7,7,8,0.5967341154404847,0.20542495227655366,4.253451905167019e-05,0.5932084709784794,0.7945750477234463,0.9991104085409613,474.42548999999997,26.3646,632.009,459863.05,474.42548999999997,"['flood', 'economic_crisis']",0.0
8,8,9,0.6007196240951163,0.20542495227655921,0.0,0.6086164832116865,0.7945750477234408,0.9996869654453379,486.7482299999999,27.7992,561.0880000000001,459863.05,486.7482299999999,['flood'],0.0
9,9,10,0.553431182401565,0.20542495227655744,0.0,0.41943402497765364,0.7945750477234426,0.999715656905164,385.76442,35.36,516.7,459863.05,385.76442,[],0.0
10,10,11,0.5533697457026014,0.20542495227655744,0.0,0.41943402497765364,0.7945750477234426,0.9994699101093097,385.76442,33.67,512.1,459863.05,385.76442,[],0.0
11,11,12,0.5533949283605083,0.20542495227655744,0.0,0.41943402497765364,0.7945750477234426,0.9995706407409372,385.76442,33.13,544.2,459863.05,385.76442,[],0.0
