,Step,Month,USI,Gini,Average_Trust,S_R,S_I,S_O,Water_Supply,Food_Supply,Elec_Supply,Total_Demand,Total_Supply,Active_Shocks,Cooperating_Pct
0,0,1,0.8856392407075471,0.20542120001053688,0.7479781628407249,1.0,0.7945787999894631,1.0,633.12967,77.65,448.0,249932.13999999998,633.12967,[],1.0
1,1,2,0.897207100945191,0.20542120001053688,0.7942496037913005,1.0,0.7945787999894631,1.0,633.12967,71.54,464.9,249932.13999999998,633.12967,[],1.0
2,2,3,0.7606418496193589,0.205421200010534,0.6472375205134528,0.6007845307030141,0.794578799989466,0.999966547271503,261.1397625,66.36,474.4325,249932.13999999998,261.1397625,['drought'],1.0
3,3,4,0.7356229461157411,0.20542120001052888,0.5309108788218795,0.6208106817264478,0.7945787999894711,0.996191423925166,269.84442125000004,58.823499999999996,518.843,249932.13999999998,269.84442125000004,"['drought', 'economic_crisis']",1.0
4,4,5,0.7468961177149906,0.20542120001052955,0.5373435284537975,0.6608629837733153,0.7945787999894705,0.9947991586433795,287.25373874999997,55.927125,505.49125,249932.13999999998,287.25373874999997,"['drought', 'economic_crisis']",1.0
5,5,6,0.8431498674412553,0.20542120001053688,0.5830277756888024,1.0,0.7945787999894631,0.9949928940867556,626.7354300000001,62.642999999999994,531.366,249932.13999999998,626.7354300000001,"['drought', 'economic_crisis']",1.0
6,6,7,0.8167443509006536,0.20542120001053688,0.4763370887881453,1.0,0.7945787999894631,0.9960615148250058,602.0141991499999,54.15759375,512.554994,249932.13999999998,602.0141991499999,"['drought', 'flood']",0.8
7,7,8,0.8282465507927159,0.20542120001053688,0.5201595506191568,1.0,0.7945787999894631,0.9982478525622438,654.5903380000001,58.7195,487.8576,249932.13999999998,654.5903380000001,['flood'],0.974
8,8,9,0.8394217877367082,0.20542120001053688,0.5650510515813053,1.0,0.7945787999894631,0.9980572993760642,685.9271094999999,60.069625,545.3349,249932.13999999998,685.9271094999999,['flood'],1.0
9,9,10,0.8510615424555685,0.20542120001053688,0.6109069180056013,1.0,0.7945787999894631,0.9987604518272098,538.11526,84.98,456.5,249932.13999999998,538.11526,[],1.0
10,10,11,0.8629236940886957,0.20542120001053688,0.6572599949556175,1.0,0.7945787999894631,0.9998559814097022,538.11526,76.51,436.0,249932.13999999998,538.11526,[],1.0
11,11,12,0.8745110789004747,0.20542120001053688,0.7037307738831471,1.0,0.7945787999894631,0.9997347417292887,538.11526,80.51,431.2,249932.13999999998,538.11526,[],1.0
