,Step,Month,USI,Gini,Average_Trust,S_R,S_I,S_O,Water_Supply,Food_Supply,Elec_Supply,Total_Demand,Total_Supply,Active_Shocks,Cooperating_Pct
0,0,1,0.8830660241108452,0.20542787990256883,0.7376919763459495,1.0,0.7945721200974312,1.0,660.4974,34.15,463.8,283596.4,660.4974,[],1.0
1,1,2,0.8920513030705318,0.20542787990256883,0.7736330921846961,1.0,0.7945721200974312,1.0,660.4974,33.97,436.1,283596.4,660.4974,[],1.0
2,2,3,0.8882142545488023,0.20542787990256883,0.7583050814998955,1.0,0.7945721200974312,0.9999798165978822,548.8339925,34.16965,515.09945,283596.4,548.8339925,['drought'],1.0
3,3,4,0.8593509363670602,0.20542787990256883,0.6428451765711707,1.0,0.7945721200974312,0.9999864487996393,557.2559974999999,33.00415,477.423375,283596.4,557.2559974999999,"['drought', 'economic_crisis']",1.0
4,4,5,0.8654130566123914,0.20542787990257172,0.6773367335773209,0.9899050199508879,0.7945721200974283,0.999838352823929,561.467,32.5,489.0,283596.4,561.467,"['drought', 'economic_crisis']",1.0
5,5,6,0.8764151682383898,0.20542787990256883,0.7112551107230538,1.0,0.7945721200974312,0.9998334421330742,891.7157,31.2,515.4,283596.4,891.7157,['economic_crisis'],1.0
6,6,7,0.8337862217794947,0.20542787990256883,0.5407319140800803,1.0,0.7945721200974312,0.9998408529404673,749.0411879999999,25.52,496.27759999999995,283596.4,749.0411879999999,"['flood', 'economic_crisis']",0.988
7,7,8,0.8414093378386144,0.20542787990256883,0.571400104563883,1.0,0.7945721200974312,0.9996651266931433,766.875502,27.387,519.6192,283596.4,766.875502,['flood'],1.0
8,8,9,0.8494075700772594,0.20542787990256883,0.6033021655262535,1.0,0.7945721200974312,0.9997559946853529,820.3784440000001,28.764000000000003,469.944,283596.4,820.3784440000001,['flood'],1.0
9,9,10,0.8584447634480576,0.20542787990256883,0.6394505468526721,1.0,0.7945721200974312,0.9997563868421274,602.4160704,34.4932,415.6516,283596.4,602.4160704,['flood'],1.0
10,10,11,0.8675104469065088,0.20542787990256883,0.6756872606296184,1.0,0.7945721200974312,0.9997824068989859,627.51674,38.45,425.5,283596.4,627.51674,[],1.0
11,11,12,0.8765474694134543,0.20542787990256883,0.7117607180128925,1.0,0.7945721200974312,0.9998570395434934,627.51674,38.13,412.1,283596.4,627.51674,[],1.0
