step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
1,1,1,0.9275,0.0087,0.9708,0.748,[],Belagavi,exp1_baseline
2,2,1,0.9391,0.0087,0.9708,0.7943,[],Belagavi,exp1_baseline
3,3,1,0.9506,0.0087,0.9708,0.8405,[],Belagavi,exp1_baseline
4,4,1,0.9618,0.0087,0.9708,0.8853,[],Belagavi,exp1_baseline
5,5,1,0.9707,0.0087,0.9708,0.921,[],Belagavi,exp1_baseline
6,6,1,0.9771,0.0087,0.9708,0.9464,[],Belagavi,exp1_baseline
7,7,1,0.9824,0.0087,0.9708,0.9679,[],Belagavi,exp1_baseline
8,8,1,0.9871,0.0087,0.9708,0.9866,[],Belagavi,exp1_baseline
9,9,1,0.9898,0.0087,0.9708,0.9972,[],Belagavi,exp1_baseline
10,10,1,0.9903,0.0087,0.9708,0.9993,[],Belagavi,exp1_baseline
11,11,1,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
12,12,1,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
13,1,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
14,2,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
15,3,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
16,4,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
17,5,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
18,6,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
19,7,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
20,8,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
21,9,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
22,10,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
23,11,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
24,12,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
