step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
1,1,1,0.819,0.0144,0.5977,0.6927,[],Bengaluru,exp1_baseline
2,2,1,0.8206,0.0069,0.604,0.6853,[],Bengaluru,exp1_baseline
3,3,1,0.7934,0.0068,0.5129,0.6673,[],Bengaluru,exp1_baseline
4,4,1,0.7851,0.0145,0.5074,0.6478,[],Bengaluru,exp1_baseline
5,5,1,0.7793,0.0166,0.5058,0.628,[],Bengaluru,exp1_baseline
6,6,1,0.8087,0.0226,0.6354,0.6222,[],Bengaluru,exp1_baseline
7,7,1,0.8091,0.0191,0.6385,0.6172,[],Bengaluru,exp1_baseline
8,8,1,0.806,0.0226,0.6354,0.6114,[],Bengaluru,exp1_baseline
9,9,1,0.8058,0.0202,0.6375,0.6062,[],Bengaluru,exp1_baseline
10,10,1,0.7927,0.0039,0.5783,0.5965,[],Bengaluru,exp1_baseline
11,11,1,0.7888,0.0055,0.5748,0.5859,[],Bengaluru,exp1_baseline
12,12,1,0.7854,0.0069,0.5736,0.5748,[],Bengaluru,exp1_baseline
13,1,2,0.7871,0.0144,0.5975,0.5655,[],Bengaluru,exp1_baseline
14,2,2,0.7886,0.0069,0.6038,0.5576,[],Bengaluru,exp1_baseline
15,3,2,0.7612,0.0067,0.5126,0.5388,[],Bengaluru,exp1_baseline
16,4,2,0.7526,0.0143,0.5067,0.518,[],Bengaluru,exp1_baseline
17,5,2,0.7462,0.0161,0.5047,0.4963,[],Bengaluru,exp1_baseline
18,6,2,0.7748,0.0219,0.6333,0.488,[],Bengaluru,exp1_baseline
19,7,2,0.7745,0.0183,0.6362,0.4803,[],Bengaluru,exp1_baseline
20,8,2,0.7706,0.0216,0.6329,0.4715,[],Bengaluru,exp1_baseline
21,9,2,0.7696,0.0191,0.6347,0.4629,[],Bengaluru,exp1_baseline
22,10,2,0.755,0.0048,0.5754,0.4495,[],Bengaluru,exp1_baseline
23,11,2,0.7504,0.0045,0.5714,0.4346,[],Bengaluru,exp1_baseline
24,12,2,0.7458,0.0052,0.5698,0.4186,[],Bengaluru,exp1_baseline
