step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
1,1,1,0.9275,0.0087,0.9708,0.748,[],Hubballi-Dharwad,exp1_baseline
2,2,1,0.9391,0.0087,0.9708,0.7942,[],Hubballi-Dharwad,exp1_baseline
3,3,1,0.8922,0.0086,0.7689,0.8083,[],Hubballi-Dharwad,exp1_baseline
4,4,1,0.8956,0.0086,0.7689,0.8224,[],Hubballi-Dharwad,exp1_baseline
5,5,1,0.8991,0.0086,0.7689,0.8365,[],Hubballi-Dharwad,exp1_baseline
6,6,1,0.9602,0.0087,0.9708,0.8792,[],Hubballi-Dharwad,exp1_baseline
7,7,1,0.9685,0.0087,0.9708,0.9126,[],Hubballi-Dharwad,exp1_baseline
8,8,1,0.9747,0.0087,0.9708,0.9378,[],Hubballi-Dharwad,exp1_baseline
9,9,1,0.9802,0.0087,0.9708,0.9598,[],Hubballi-Dharwad,exp1_baseline
10,10,1,0.9852,0.0087,0.9708,0.9797,[],Hubballi-Dharwad,exp1_baseline
11,11,1,0.989,0.0087,0.9708,0.9941,[],Hubballi-Dharwad,exp1_baseline
12,12,1,0.9902,0.0087,0.9708,0.9989,[],Hubballi-Dharwad,exp1_baseline
13,1,2,0.9904,0.0087,0.9708,0.9994,[],Hubballi-Dharwad,exp1_baseline
14,2,2,0.9904,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
15,3,2,0.9393,0.0086,0.7689,0.997,[],Hubballi-Dharwad,exp1_baseline
16,4,2,0.9388,0.0086,0.7689,0.9952,[],Hubballi-Dharwad,exp1_baseline
17,5,2,0.9383,0.0086,0.7689,0.9936,[],Hubballi-Dharwad,exp1_baseline
18,6,2,0.9901,0.0087,0.9708,0.9989,[],Hubballi-Dharwad,exp1_baseline
19,7,2,0.9902,0.0087,0.9708,0.9994,[],Hubballi-Dharwad,exp1_baseline
20,8,2,0.9902,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
21,9,2,0.9902,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
22,10,2,0.9903,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
23,11,2,0.9904,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
24,12,2,0.9904,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
