step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
1,1,1,0.9159,0.0087,0.9271,0.7452,[],Mysuru,exp1_baseline
2,2,1,0.9268,0.0087,0.9271,0.7887,[],Mysuru,exp1_baseline
3,3,1,0.8915,0.0086,0.7717,0.8031,[],Mysuru,exp1_baseline
4,4,1,0.8951,0.0086,0.7717,0.8175,[],Mysuru,exp1_baseline
5,5,1,0.8987,0.0086,0.7717,0.8319,[],Mysuru,exp1_baseline
6,6,1,0.9593,0.0087,0.9708,0.8753,[],Mysuru,exp1_baseline
7,7,1,0.9677,0.0087,0.9708,0.9096,[],Mysuru,exp1_baseline
8,8,1,0.9741,0.0087,0.9708,0.9353,[],Mysuru,exp1_baseline
9,9,1,0.9796,0.0087,0.9708,0.9575,[],Mysuru,exp1_baseline
10,10,1,0.9605,0.0087,0.8774,0.9742,[],Mysuru,exp1_baseline
11,11,1,0.9642,0.0087,0.8774,0.9883,[],Mysuru,exp1_baseline
12,12,1,0.9663,0.0087,0.8774,0.9964,[],Mysuru,exp1_baseline
13,1,2,0.9793,0.0087,0.9271,0.9989,[],Mysuru,exp1_baseline
14,2,2,0.9794,0.0087,0.9271,0.9991,[],Mysuru,exp1_baseline
15,3,2,0.94,0.0086,0.7717,0.997,[],Mysuru,exp1_baseline
16,4,2,0.9396,0.0086,0.7717,0.9954,[],Mysuru,exp1_baseline
17,5,2,0.9392,0.0086,0.7717,0.9939,[],Mysuru,exp1_baseline
18,6,2,0.9902,0.0087,0.9708,0.999,[],Mysuru,exp1_baseline
19,7,2,0.9903,0.0087,0.9708,0.9994,[],Mysuru,exp1_baseline
20,8,2,0.9902,0.0087,0.9708,0.9995,[],Mysuru,exp1_baseline
21,9,2,0.9902,0.0087,0.9708,0.9995,[],Mysuru,exp1_baseline
22,10,2,0.9668,0.0087,0.8774,0.9988,[],Mysuru,exp1_baseline
23,11,2,0.9668,0.0087,0.8774,0.9987,[],Mysuru,exp1_baseline
24,12,2,0.9668,0.0087,0.8774,0.9987,[],Mysuru,exp1_baseline
